INICIO: Mon Mar 20 07:44:45 BRT 2017
INDIVIDUALS OF LAST GENERATION: 9
Indi 0: Fitness: -7Genotype: [-1.4, 4.6, -2.0, -1.4, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 1: Fitness: -2Genotype: [-0.1, 4.8, -0.7, 3.1, 4.5, 3.0, -1.2, 3.9, -1.7, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 2: Fitness: -2Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, 3.6, -0.9, -1.2, -2.1]
Indi 3: Fitness: -1Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, -1.1, -2.4, -1.2, -2.1]
Indi 4: Fitness: 0Genotype: [-1.4, 4.6, -2.0, 4.1, 4.0, 2.8, -2.5, 3.3, -1.4, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, -2.3]
Indi 5: Fitness: 1Genotype: [-0.1, 4.8, -0.7, 3.1, 4.5, 3.0, -1.2, 3.9, -1.9, 3.9, 3.1, 4.5, -1.1, -0.9, -1.2, -2.1]
Indi 6: Fitness: 2Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -2.3, 3.9, -1.1, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 7: Fitness: 2Genotype: [-0.1, 4.8, -0.7, 3.1, 4.5, 3.0, -1.2, 3.9, -1.7, 3.9, 3.1, -1.4, -0.6, -0.9, -1.2, -2.1]
Indi 8: Fitness: 5Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, -0.0, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 9: Fitness: 13Genotype: [-1.4, 4.6, -2.0, -1.4, 4.0, 2.8, -2.5, 3.3, 4.2, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, 2.7]
Indi 10: Fitness: 20Genotype: [-1.4, 4.6, -2.0, -1.4, 4.5, 3.0, -2.0, 3.9, -1.7, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 11: Fitness: 22Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, 2.7]
Indi 12: Fitness: 23Genotype: [-0.1, 4.8, -0.7, 3.1, 4.5, 3.0, -1.2, 3.9, -1.9, 3.9, 3.1, -0.6, -0.0, -0.9, -1.2, -2.1]
Indi 13: Fitness: 24Genotype: [-1.4, 4.6, -2.0, 4.1, 4.0, 2.8, -2.5, 3.3, -1.9, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, -2.3]
Indi 14: Fitness: 27Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 15: Fitness: 27Genotype: [-1.4, 4.6, -2.0, -1.4, 4.0, 2.8, -2.5, 3.3, -1.9, 3.9, 3.1, -0.6, -1.1, -0.9, -1.2, -2.1]
Indi 16: Fitness: 32Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, -2.3]
Indi 17: Fitness: 35Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -1.3, 4.1, -1.5, -1.7, -0.3, -2.3, -2.3]
Indi 18: Fitness: 36Genotype: [-1.4, 3.3, -2.0, -1.4, 4.0, 2.8, -2.5, 3.3, -1.9, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, 2.7]
Indi 19: Fitness: 40Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -1.3, 4.1, -1.5, -1.7, 4.7, -0.1, -2.3]
Indi 20: Fitness: 64Genotype: [-1.4, 4.6, -2.0, 4.1, 4.0, 2.8, -2.5, 3.3, -1.9, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, 3.8]
Indi 21: Fitness: 68Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -0.1, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 22: Fitness: 71Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 4.3, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, 4.4, -0.9, -1.2, -2.1]
Indi 23: Fitness: 74Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 24: Fitness: 74Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, 3.3, -1.3, 4.1, -1.5, -1.7, 4.7, -2.3, -2.3]
Indi 25: Fitness: 76Genotype: [-1.4, 4.6, -1.5, -1.4, 4.5, 3.0, -1.2, 3.9, -1.7, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
Indi 26: Fitness: 76Genotype: [-0.1, 4.8, -0.7, 3.1, 3.5, 3.0, -1.8, 3.9, -1.1, 3.9, 3.1, -1.4, -1.1, 4.3, -1.2, -2.1]
Indi 27: Fitness: 76Genotype: [-0.1, 4.8, -0.7, 3.1, 4.5, 3.0, -1.2, 3.9, -1.7, 3.9, 3.1, -1.4, -1.1, -0.9, -1.2, -2.1]
